product_id,category_id,sku,name,brand,retail_price_eur,release_date,listed_date,condition,status,days_on_shelf
1,1,SKU-10000,"Hisense 50"" AMOLED Plus 2021",Hisense,525,2022-04-14,2022-06-28,new,sold,1013
2,1,SKU-10001,"Samsung 43"" MiniLED Max 2022",Samsung,735,2024-04-11,2024-05-09,new,sold,332
3,1,SKU-10006,"Samsung 50"" LED Smart 2024",Samsung,525,2024-02-06,2024-02-18,new,sold,413
4,1,SKU-10012,"TCL 65"" QLED Slim 2021",TCL,1515,2023-10-13,2024-01-11,new,eligible_for_rental,451
5,1,SKU-10013,"Hisense 65"" LED Premium 2023",Hisense,1295,2023-12-29,2024-01-18,new,sold,444
6,1,SKU-10019,"LG 50"" Neo QLED Slim 2021",LG,1135,2022-12-29,2023-03-26,new,sold,742
7,1,SKU-10020,"LG 50"" MiniLED Pro 2023",LG,2225,2023-08-05,2023-10-07,new,eligible_for_rental,547
8,1,SKU-10028,"LG 55"" AMOLED Slim 2022",LG,1585,2024-02-11,2024-03-28,new,sold,374
9,1,SKU-10031,"TCL 85"" OLED Air 2021",TCL,2040,2024-02-28,2024-05-14,new,sold,327
10,1,SKU-10038,"Philips 85"" MiniLED Neo 2023",Philips,1950,2023-11-14,2023-11-28,new,sold,495
11,1,SKU-10045,"LG 75"" QLED Neo 2021",LG,2215,2023-06-15,2023-09-04,new,sold,580
12,1,SKU-10049,"LG 75"" LED 4K 2022",LG,1375,2022-07-03,2022-08-18,new,sold,962
13,1,SKU-10053,"Samsung 75"" OLED Premium 2021",Samsung,580,2024-06-22,2024-08-31,new,sold,218
14,1,SKU-10058,"TCL 65"" AMOLED Mini 2022",TCL,1730,2024-04-11,2024-06-16,new,sold,294
15,1,SKU-10060,"LG 75"" OLED Premium 2021",LG,1595,2022-01-06,2022-01-15,open_box,sold,1177
16,1,SKU-10061,"LG 50"" LED Max 2021",LG,1770,2023-01-05,2023-03-15,new,sold,753
17,1,SKU-10069,"LG 85"" Neo QLED Air 2024",LG,1080,2024-02-22,2024-04-21,open_box,sold,350
18,1,SKU-10070,"Hisense 50"" OLED Plus 2021",Hisense,715,2024-06-20,2024-07-07,new,sold,273
19,1,SKU-10073,"Sony 43"" QLED Neo 2022",Sony,1735,2022-01-20,2022-01-31,refurbished,sold,1161
20,1,SKU-10077,"LG 43"" OLED Mini 2024",LG,1135,2024-02-06,2024-03-10,new,sold,392
21,1,SKU-10082,"Philips 50"" QLED Flex 2024",Philips,1575,2022-03-26,2022-05-05,new,rented,1067
22,1,SKU-10083,"TCL 50"" QLED Air 2022",TCL,1610,2023-03-07,2023-04-27,new,sold,710
23,1,SKU-10087,"TCL 75"" LED Pro 2021",TCL,2355,2022-11-30,2023-02-23,open_box,rented,773
24,1,SKU-10093,"LG 55"" QLED Slim 2024",LG,320,2022-07-15,2022-07-24,new,sold,987
25,1,SKU-10097,"TCL 55"" LED Slim 2022",TCL,645,2023-06-26,2023-09-12,open_box,sold,572
26,1,SKU-10106,"Samsung 43"" QLED Flex 2023",Samsung,1930,2022-10-12,2022-11-15,new,sold,873
27,1,SKU-10110,"Hisense 55"" QLED Wireless 2022",Hisense,500,2024-04-12,2024-05-17,new,sold,324
28,1,SKU-10111,"Sony 85"" Neo QLED Elite 2023",Sony,1535,2022-08-09,2022-08-18,open_box,sold,962
29,1,SKU-10114,"TCL 50"" QLED Pro 2023",TCL,975,2022-02-06,2022-03-23,new,sold,1110
30,1,SKU-10118,"Hisense 85"" OLED Plus 2023",Hisense,2335,2023-04-10,2023-04-30,new,sold,707
31,1,SKU-10125,"Samsung 50"" AMOLED Smart 2023",Samsung,535,2022-01-20,2022-03-21,new,rented,1112
32,1,SKU-10129,"Philips 85"" OLED 4K 2023",Philips,1175,2023-06-20,2023-07-25,new,eligible_for_rental,621
33,1,SKU-10138,"Philips 50"" MiniLED Flex 2023",Philips,2415,2023-06-24,2023-06-28,new,sold,648
34,1,SKU-10145,"Sony 75"" OLED Wireless 2024",Sony,860,2024-06-12,2024-06-12,new,sold,298
35,1,SKU-10154,"Hisense 75"" LED Advanced 2023",Hisense,1760,2022-08-06,2022-09-13,new,rented,936
36,1,SKU-10159,"Hisense 50"" OLED Mini 2023",Hisense,1225,2023-11-22,2024-02-16,refurbished,sold,415
37,1,SKU-10162,"TCL 55"" LED Vision 2023",TCL,760,2023-08-24,2023-10-22,new,sold,532
38,1,SKU-10170,"Hisense 75"" AMOLED Advanced 2024",Hisense,1690,2023-11-07,2023-11-18,refurbished,sold,505
39,1,SKU-10174,"Hisense 43"" OLED Compact 2022",Hisense,2465,2022-04-02,2022-05-30,new,sold,1042
40,1,SKU-10178,"Hisense 85"" AMOLED HD 2024",Hisense,310,2022-06-14,2022-08-07,new,sold,973
41,1,SKU-10181,"Hisense 43"" Neo QLED Edge 2024",Hisense,590,2024-05-16,2024-08-09,new,for_sale,240
42,1,SKU-10190,"TCL 65"" OLED Wireless 2024",TCL,1935,2024-07-04,2024-08-30,new,sold,219
43,1,SKU-10194,"Hisense 43"" AMOLED Slim 2024",Hisense,930,2023-05-30,2023-07-11,new,sold,635
44,1,SKU-10203,"Samsung 85"" OLED Elite 2022",Samsung,440,2024-03-03,2024-04-14,new,sold,357
45,1,SKU-10211,"Philips 85"" QLED Pro 2022",Philips,2185,2023-12-20,2024-02-19,new,sold,412
46,1,SKU-10217,"Sony 50"" Neo QLED HD 2024",Sony,780,2024-04-10,2024-06-11,new,sold,299
47,1,SKU-10224,"Sony 75"" QLED HD 2022",Sony,2295,2022-02-15,2022-02-25,open_box,rented,1136
48,1,SKU-10231,"LG 55"" OLED Neo 2022",LG,1300,2023-10-06,2023-11-23,new,sold,500
49,1,SKU-10238,"Sony 55"" OLED Max 2024",Sony,1730,2022-03-21,2022-03-24,new,sold,1109
50,1,SKU-10242,"Samsung 75"" OLED Elite 2022",Samsung,1320,2023-04-23,2023-06-09,new,sold,667
51,1,SKU-10244,"LG 85"" Neo QLED Compact 2021",LG,1170,2023-02-02,2023-02-11,new,sold,785
52,1,SKU-10248,"Samsung 65"" AMOLED Compact 2021",Samsung,1115,2024-08-12,2024-11-02,new,sold,155
53,1,SKU-10249,"Philips 85"" OLED Air 2021",Philips,1255,2023-04-21,2023-07-08,new,sold,638
54,1,SKU-10257,"Philips 55"" Neo QLED Mini 2023",Philips,835,2024-05-29,2024-08-09,new,for_sale,240
55,1,SKU-10264,"Sony 50"" LED Ultra 2024",Sony,2055,2023-10-25,2023-11-29,new,sold,494
